Market Data - All Shares
As of  07/10/2018 10:03

Name,Symbol ,ISIN,Index,Last Price (0.01 NIS),Change (%),Turnover(NIS thousands),Last Trade
ISRAEL CORP,ILCO,IL0005760173,"TA-35, TA-125, TA-AllShare, TA-Rimon",117000.00,-0.59,526.12,10:02
ISRAEL OP     L,ISOP.L,IL0011199242,"TA-Growth, TA-AllShare, TA Oil & Gas Index",122.00,-0.89,19.47,09:58
ISRAMCO       L,ISRA.L,IL0002320179,"TA-35, TA-125, Tel-Div Index, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA Sector-Balance",42.50,-0.47,104.37,10:02
ISRAS,ISRS,IL0006130343,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",39550.00,-1.62,93.87,09:47
ISROTEL,ISRO,IL0010809858,,6048.00,,,
ISSTA,ISTA,IL0010810740,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",6367.00,,0.06,09:45
ITAMAR,ITMR,IL0011024580,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",137.50,,,
JERUSALEM,JBNK,IL0007260180,"TA-Finance Index, TA-Growth, TA-AllShare",610.00,0.21,6.07,09:47
JERUSALEM ECON,ECJM,IL0001980106,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",1005.00,-1.57,76.34,10:02
JERUSALEM INV-M,JTI-M,IL0010844335,,14.50,,,
JOEL,JOEL,IL0005830133,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",22050.00,,,
KADIMASTEM,KDST,IL0011284614,,77.80,,,
KAFRIT,KAFR,IL0005220111,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",1841.00,,2.03,09:45
KAMADA,KMDA,IL0010941198,"TA-90, TA-125, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Industrials",2254.00,-0.70,65.93,09:51
KARDAN N.V.,KRNV,NL0000113652,"TA-Growth, TA-AllShare",38.30,-6.81,0.92,09:45
KARDAN REAL ES,KARE,IL0011184475,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",163.10,,,
KARDEN ISRAEL,KRDI,IL0012101528,"TA-RealEstate, TA-Growth, TA-AllShare",140.20,,,
KENON,KEN,SG9999012629,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150",6060.00,-0.05,27.99,09:50
KERUR,KRUR,IL0006210111,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",9701.00,,1.65,09:45
KITOV PHARMA,KTOV,IL0007650166,,31.50,-2.17,,
KLIL,KLIL,IL0007970358,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",32000.00,,0.32,09:45
KMN CAPITAL-M,KMNK-M,IL0011068066,,559.00,-0.21,,
KNAFAIM,KNFM,IL0005430173,"TA-Growth, TA-AllShare, TA-Rimon",1206.00,,,
LACHISH,LHIS,IL0008260163,,421.00,,,
LAHAV,LAHAV,IL0001360101,,175.80,,,
LAND DEV,ILDC,IL0006120104,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",3100.00,,59.62,10:03
LAPIDOT HEL L,LPHL.L,IL0010912488,"TA-Growth, TA-AllShare, TA Oil & Gas Index",143.00,,,
LAPIDOTH   CAP.,LAPD,IL0006420173,"TA-Growth, TA-AllShare",1550.00,,0.54,09:58
LEADER,LDER,IL0003180143,"TA-Growth, TA-AllShare",34.10,,,
LESICO,LSCO,IL0011409468,"TA-RealEstate, TA-Growth, TA-AllShare",489.40,,,
LEUMI,LUMI,IL0006046119,"TA-35, TA-125, TA-Finance Index, TA-Maala Index, TA-Banks5, TA-AllShare, TA-Rimon, TA Sector-Balance",2397.00,-0.54,2567.70,10:03
LEVINSKI OFER,LEOF,IL0002000144,,46.70,,,
LEVINSTEIN ENG,LEVI,IL0005730143,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",13800.00,,,
LEVINSTEIN PROP,LVPR,IL0011190803,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",6897.00,,0.21,09:50
LIBENTAL,LBTL,IL0005840116,"TA-RealEstate, TA-Growth, TA-AllShare",937.70,2.44,2.96,09:46
LIVEPERSON,LPSN,US5381461012,"TA-35, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance",8351.00,-3.81,181.87,10:03
LODZIA,LODZ,IL0007530129,,2489.00,-1.93,,
LUDAN,LUDN,IL0010814395,"TA-Growth, TA-AllShare",475.10,,,
LUZON GROUP,LUZN,IL0004730177,"TA-RealEstate, TA-Growth, TA-AllShare",41.10,-1.20,6.23,09:52
LUZON REAL E.,LZNR,IL0006660166,,32.10,2.56,,
MAABAROT,MABR,IL0005280180,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",4087.00,,,
MAGIC,MGIC,IL0010823123,"TA-90, TA-125, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",3140.00,-1.63,74.77,09:53
MALAM TEAM,MLTM,IL0001560189,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",35100.00,-1.60,4.21,09:50
MAMAN,MMAN,IL0002380140,"TA-Growth, TA-AllShare",709.50,,,
MASLAVI,MSLA,IL0011067498,,399.00,,,
MATOMY,MTMY,IL0011316978,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon",138.90,,,
MATRIX,MTRX,IL0004450156,"TA-90, TA-125, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",4400.00,-1.23,265.80,10:02
MAXIMA,MAXM,IL0001340152,,1321.00,,,
MAYTRONICS,MTRN,IL0010910656,"TA-90, TA-125, Tel-Div Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",2260.00,-0.44,200.78,10:03
MAZOR ROBOTICS,MZOR,IL0011068553,"TA-35, TA-125, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-Industrials",10460.00,-0.76,376.50,10:03
MEDICAL-M,MDCL-M,IL0010968902,,631.00,,,
MEDIGUS,MDGS,IL0010961717,,58.00,-2.03,,
MEDIPOWER 0.1$,MDPR,CY0100361019,"TA-RealEstate, TA-Growth, TA-AllShare",450.10,,,
MEDITR TOWER,MDTR,IL0011315236,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150",619.20,-0.93,1.86,09:58
MEDIVIE,MDVI,IL0011226540,,3890.00,,,
MEDLEY,MCC,US58503F1066,,1538.00,,,
MEDTECHNICA,MEDI,IL0002530132,"TA-Growth, TA-AllShare",1507.00,6.80,0.02,09:46
MEGA OR,MGOR,IL0011044885,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150",3855.00,-1.91,3.87,09:46
MEHADRIN,MEDN,IL0006860147,"TA-RealEstate, TA-Growth, TA-AllShare",17060.00,,,
MEITAV DS,MTDS,IL0010818438,"TA-90, TA-125, TA-Finance Index, TA-Maala Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",1090.00,-0.46,21.84,09:57
MELISRON,MLSR,IL0003230146,"TA-35, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance",15330.00,-1.10,127.95,10:02
MENDELSON    IF,MNIN,IL0011294449,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",983.00,,,
MENIVIM REIT,MNRT,IL0011405730,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",165.50,-2.59,18.48,09:49
MENORA MIV HLD,MMHD,IL0005660183,"TA-90, TA-125, TA-Finance Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",4367.00,-0.75,122.17,10:00
MER,CMER,IL0003380123,"TA-Growth, TA-AllShare, TA-Industrials",1500.00,-1.57,0.15,09:45
MERCHAVIA HOLD,MRHL,IL0002570146,,46.90,,,
MGURIT,MGRT,IL0011391955,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",95.20,-1.45,0.10,09:45
MICROMEDIC,MCTC,IL0004330119,,54.50,2.44,,
MICRONET 0.1,MCRNL,IL0010997877,,129.80,,,
MIGDAL INSUR.,MGDL,IL0010811656,"TA-90, TA-125, TA-Finance Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",433.80,-0.50,271.27,10:02
MIN HAGOREN,MNGN,IL0010805229,,1617.00,,,
MINRAV,MNRV,IL0001550362,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",39750.00,,,
MINRAV      PRO,MNPR,IL0011402430,"TA-RealEstate, TA-Growth, TA-AllShare, TA-Rimon",404.20,,,
MIRLAND,MLD,CY0106902113,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",135.10,,,
MISHORIM,MSHR,IL0011051963,"TA-RealEstate, TA-Growth, TA-AllShare",723.10,,,
MIVTACH SHAMIR,MISH,IL0001270193,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150",7183.00,,,
MIZRAHI TEFAHOT,MZTF,IL0006954379,"TA-35, TA-125, TA-Finance Index, TA-Banks5, TA-AllShare, TA-Rimon, TA Sector-Balance",6285.00,0.02,823.34,10:02
MOBILE MAX-M,MBMX-M,IL0011051393,,190.40,,,
MODIIN     L,MDIN.L,IL0003450173,"TA-Growth, TA-AllShare, TA Oil & Gas Index",1256.00,0.08,5.00,10:01
MOR INDUS,MRIN,IL0011414641,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus, TA-Rimon",482.00,2.95,65.85,10:03
MRP,MRP,IL0010836331,,30.10,,,
MY SIZE,MYSZ,US62844N1090,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index",370.40,-2.86,28.96,09:47
MYDAS,MYDS,IL0005440156,,67.90,,,
NANO DIMENSION,NNDM,IL0007510329,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Industrials",144.80,-2.43,35.73,09:52
NAPHTHA,NFTA,IL0006430156,"TA-90, TA-125, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150, TA Sector-Balance",2481.00,-1.66,23.31,09:54
NAVIDEA BIO,NAVB,US63937X1037,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA-Rimon, TA-SME150",94.90,9.84,38.23,09:50
NAVITAS PTRO  L,NVPT.L,IL0011419699,"TA-SME60, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150",1575.00,1.29,174.47,10:03
NAWI,NAWI,IL0002080179,"TA-90, TA-125, TA-Finance Index, Tel-Div Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA-SME150, TA Sector-Balance",2101.00,,2.31,09:45
NEOCITY,NCT,IL0011184707,,262.00,,,
NETANEL GROUP,NTGR,IL0004210162,"TA-RealEstate, TA-Growth, TA-AllShare",497.00,,,
NETO,NTO,IL0001680136,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",30380.00,,,
NETO MALINDA,NTML,IL0011050973,"TA-Growth, TA-AllShare",4867.00,,,
NETZ GRUOP,NETZ,IL0004550146,,46.20,,,
NEW HORIZON,NERZ,IL0003970188,,523.90,,,
NEXTCOM,NXTM,IL0010957855,,681.50,,,
NEXTGEN-M,NXGN-M,IL0010839301,,29.00,7.41,,
NICE,NICE,IL0002730112,"TA-35, TA-125, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance",40430.00,-2.34,1736.87,10:03
NISSAN,NISA,IL0006600196,"TA-Growth, TA-AllShare, TA-Rimon, TA-Industrials",2698.00,,,
NORSTAR,NSTR,PAL0605071A3,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150",5892.00,-0.82,19.93,09:59
NOVA,NVMI,IL0010845571,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",9017.00,-4.92,496.04,10:02
NOVOLOG,NVLG,IL0011401515,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",136.30,,,
O.R.T.,ORTC,IL0010862303,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Industrials",2936.00,,,
ONE TECHNOLOGI,ONE,IL0001610182,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",14600.00,,4.53,09:56
OPAL BALANCE,OPAL,IL0010949860,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",235.30,1.51,0.24,09:45
OPC ENERGY,OPCE,IL0011415713,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",1928.00,,,
OPHECTRA,OPCT,IL0010807209,,200.00,1.21,,
OPKO HEALTH,OPK,US68375N1037,"TA-35, TA-125, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon",1243.00,-0.64,110.61,10:02
OPTIBASE,OBAS,IL0011355166,"TA-RealEstate, TA-Growth, TA-AllShare",3005.00,,,
ORAD,ORAD,IL0011044968,"TA-Growth, TA-AllShare",141.00,0.28,5.01,09:45
ORAMED PHARM,ORMP,US68403P2039,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",1700.00,,,
ORBIT,ORBI,IL0002650179,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Industrials",1204.00,-4.75,12.48,09:59
ORIAN,ORIN,IL0011035065,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",2011.00,,,
ORMAT TECHNO,ORA,US6866881021,"TA-35, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA Sector-Balance, TA-Industrials",18920.00,-1.46,333.43,10:02
ORON GROUP,ORON,IL0011357063,"TA-RealEstate, TA-Growth, TA-AllShare",376.20,,,
OVERSEAS,OVRS,IL0011396178,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",545.00,,,
P.C.B TEC,PCBT,IL0010916851,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Industrials",502.90,-0.98,2.01,09:51
P.L.T. FINANC,PLTF,IL0005990192,,29.10,,,
PALRAM,PLRM,IL0006440130,"TA-Growth, TA-AllShare, TA-Industrials",2293.00,,,
PARTNER,PTNR,IL0010834849,"TA-90, TA-125, TA-Maala Index, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA-SME150, TA Sector-Balance",1843.00,-1.55,345.51,10:03
PAYTON,PAYT,IL0004120155,"TA-Growth, TA-AllShare, TA-Industrials",6102.00,-0.89,22.82,09:45
PAZ OIL,PZOL,IL0011000077,"TA-35, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance",57130.00,0.14,336.61,10:03
PENINSULA GROUP,PEN,IL0003330136,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",177.00,,,
PENNANTPARK $,PFLT,US70806A1060,,4750.00,,,
PERION NETWORK,PERI,IL0010958192,"TA-SME60, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150",1122.00,2.47,2.24,09:45
PERRIGO,PRGO,IE00BGH1M568,"TA-35, TA-125, TA-Biomed Index, TA-Maala Index, TA Global-BlueTech, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Industrials",25970.00,1.56,383.76,10:02
PETROCHEMICAL,PTCH,IL0007560159,,405.20,,,
PETROTX,PTX,IL0010997612,,71.90,,,
PHOENIX,PHOE,IL0007670123,"TA-35, TA-125, TA-Finance Index, TA-Maala Index, TA-AllShare, TA Insurance-Plus, TA-Rimon, TA Sector-Balance",2236.00,-0.18,278.22,10:02
PLASSON INDUS,PLSN,IL0010816036,"TA-90, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",18350.00,-0.70,34.84,10:01
PLASTO CARGAL,PLCR,IL0007270163,"TA-Growth, TA-AllShare, TA-Industrials",694.90,,,
PLASTOFIL    -M,PPIL-M,IL0010928401,,614.50,,,
PLAZA CENTERS-L,PLAZ-L,NL0011882741,,142.00,,,
PLURISTEM,PSTI,US72940R1023,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Industrials",450.00,-0.82,35.51,09:45
POALIM,POLI,IL0006625771,"TA-35, TA-125, TA-Finance Index, TA-Maala Index, TA-Banks5, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance",2626.00,-0.23,1145.98,10:02
POALIM IBI,PIU,IL0010844822,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus, TA-Rimon",1101.00,-1.26,7.71,09:45
POINTER,PNTR,IL0010826274,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Industrials",4600.00,,,
POLYGON,POLY,IL0007450187,"TA-RealEstate, TA-Growth, TA-AllShare",2300.00,-4.84,49.32,10:03
PRASHKOVSKY,PRSK,IL0011021289,"TA-RealEstate, TA-Growth, TA-AllShare",2854.00,,2.00,09:45
PRIORTECH,PRTC,IL0003280133,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Industrials",3615.00,-2.03,27.17,10:03
PROPERT & BUIL,PTBL,IL0006990175,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150",27700.00,-0.72,32.96,10:01
PROTALIX,PLX,US74365A1016,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150",254.00,-4.15,137.12,10:03
PROTEOLOGICS-M,PRTL-M,IL0011181166,,91.00,1.11,,
QUALITAU,QLTU,IL0010839558,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Industrials",1578.00,,,
QUEENCO,QNCO,IL0003860116,"TA-Growth, TA-AllShare",719.90,,0.99,09:45
RALCO,RLCO,IL0003930174,"TA-Growth, TA-AllShare",2438.00,3.74,2.05,09:45
RAM ON,RMN,IL0010909435,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",1255.00,,,
RAMI LEVI,RMLI,IL0011042491,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",17100.00,-0.29,74.69,09:57
RANI ZIM,RANI,IL0011436198,"TA-RealEstate, TA-Growth, TA-AllShare",223.60,,,
RAPAC,RPAC,IL0007690261,"TA-Growth, TA-AllShare",1056.00,,,
RATIO       L,RATI.L,IL0003940157,"TA-90, TA-125, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150, TA Sector-Balance",277.00,-1.11,562.55,10:03
RATIO PETROLE L,RTPT.L,IL0011398646,"TA-Growth, TA-AllShare, TA Oil & Gas Index",209.90,-0.05,152.30,10:03
RAVAD,RAVD,IL0005260125,"TA-RealEstate, TA-Growth, TA-AllShare",715.00,,,
RAVAL,RVL,IL0011038788,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",560.00,-1.53,2.80,09:45
REDHILL,RDHL,IL0011223810,"TA-SME60, TA-Biomed Index, TA Global-BlueTech, TA-AllShare, TA Tech - Elite, TA-Rimon, TA-SME150, TA-Industrials",313.20,,,
REIT 1,RIT1,IL0010989205,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",1478.00,-0.47,381.15,10:02
REKAH,REKA,IL0010810096,"TA-Biomed Index, TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Industrials",3526.00,,,
RIMONI,RIMO,IL0010804560,"TA-Growth, TA-AllShare, TA-Industrials",5960.00,-1.10,10.62,09:49
ROBOGROUP,ROBO,IL0002660152,,113.00,,,
ROTSHTEIN,ROTS,IL0005390153,"TA-RealEstate, TA-Growth, TA-AllShare",1412.00,,,
RSL,RSEL,IL0002990161,,171.00,,,
S.R ACCORD,SRAC,IL0004220146,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",1700.00,4.74,250.10,09:57
SAFE-T GROUP,SFET,IL0010838568,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index",89.70,,,
SANO,SANO1,IL0008130143,"TA-Maala Index, TA-Growth, TA-AllShare, TA-Industrials",19880.00,,,
SAPIENS,SPNS,KYG7T16G1039,"TA-90, TA-125, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon, TA-SME150, TA Sector-Balance",4455.00,,95.69,09:45
SAPIR CORP,SPIR,IL0003650152,"TA-RealEstate, TA-Growth, TA-AllShare",800.00,-4.98,13.28,09:45
SARFATI,SRFT,IL0004250176,"TA-RealEstate, TA-Growth, TA-AllShare",1095.00,,,
SATCOM SYSTEM,STCM,IL0010805971,,115.30,,,
SCHNAPP,SHNP,IL0011035719,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",1817.00,,,
SCOPE,SCOP,IL0002880198,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",10280.00,-1.15,19.60,09:59
SELLA REAL EST,SLARL,IL0011096448,"TA-90, TA-125, TA-RealEstate, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150",630.00,-1.25,226.56,09:53
SHAGRIR,SHGR,IL0011383796,"TA-Growth, TA-AllShare, TA-Rimon",1709.00,,,
SHALAG,SALG,IL0010905474,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",1455.00,0.14,9.31,10:03
SHANIV,SHAN,IL0010808371,"TA-Growth, TA-AllShare, TA-Industrials",301.10,,,
SHAPIR      ENG,SPEN,IL0011338758,"TA-90, TA-125, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",1285.00,-1.15,14.61,09:45
SHEFA YAMIM,SEFA,IL0003410169,,38.90,1.30,,
SHEMEN INDUSTRY,SMNIN,IL0006340306,"TA-Growth, TA-AllShare, TA-Industrials",615.60,,,
SHEMEN OIL&GA-M,SOG-M,IL0011250128,,222.50,,,
SHIKUN & BINUI,SKBN,IL0010819428,"TA-90, TA-125, TA-RealEstate, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",730.10,-0.45,78.88,09:48
SHOHAM BUSINESS,SHOM,IL0010820079,"TA-Finance Index, TA-Growth, TA-AllShare, TA Insurance-Plus",275.00,,,
SHUFERSAL,SAE,IL0007770378,"TA-35, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance",2303.00,-0.86,240.27,10:02
SKYLINE,SKLN,CA83084Y1007,"TA-SME60, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",3147.00,,,
SODASTREAM,SODA,IL0011213001,"TA-35, TA-125, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Industrials",51920.00,0.10,373.88,10:03
SOLEGREEN,SLGN,IL0011022352,,831.40,,,
SOMOTO,SMTO,VGG826421023,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon",215.20,,6.00,09:57
SPACE COM,SCC,IL0010923451,"TA-SME60, TA-AllShare, TA-Communication & InformationTechnology, TA-Rimon, TA-SME150",1375.00,,,
SPRING,SPRG,IL0010973449,,829.90,,,
SPUNTECH,SPNTC,IL0010901176,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance, TA-Industrials",1106.00,-0.81,37.13,09:51
STG,STG,IL0005500124,,863.60,,,
STRAUSS GROUP,STRS,IL0007460160,"TA-35, TA-125, TA-Maala Index, Tel-Div Index, TA-AllShare, TA-Rimon, TA Sector-Balance, TA-Industrials",7920.00,-0.13,123.41,10:02
SUMMIT,SMT,IL0010816861,"TA-90, TA-125, TA-RealEstate, TA-AllShare, TA-Rimon, TA-SME150",3459.00,-0.63,17.16,10:02
SUNFLOWER,SNFL,IL0010987555,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite",670.10,,,
SUNY COMMUN,SNCM,IL0010823537,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150",175.90,,,
SUNY ELECTRONIC,SUNY,IL0055501576,,267.80,,,
SYNEL,SNEL,IL0010849532,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA Tech - Elite, TA-Rimon",3006.00,,,
TADIR GAN,TDGN,IL0010901416,,12.90,,,
TADIRAN HOLDING,TDRN,IL0002580129,"TA-90, TA-125, TA-AllShare, TA-Rimon, TA-SME150, TA Sector-Balance",9901.00,,6.83,09:50
TALDOR,TALD,IL0004770181,"TA-SME60, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-SME150",1455.00,,,
TAMAR PET,TMRP,IL0011413577,"TA-90, TA-125, TA-AllShare, TA Oil & Gas Index, TA-Rimon, TA-SME150, TA Sector-Balance",1612.00,-0.49,101.38,09:56
TAMDA-M,TMDA-M,IL0004040122,,139.80,,,
TAT TECHNO,TATT,IL0010827264,"TA-SME60, TA-AllShare, TA-Rimon, TA-SME150, TA-Industrials",2534.00,1.00,0.10,09:45
TAYA INV,TAYA,IL0007960110,"TA-Growth, TA-AllShare, TA-Communication & InformationTechnology",6042.00,,,
TCHNOPLS VENT,TNPV,IL0010834195,,139.30,,,
TEDEA,TEDE,IL0001420186,"TA-Growth, TA-AllShare",1407.00,,,
TEFEN,TEFN,IL0006730126,,553.00,,,
TEFRON,TFRLF,IL0010825854,,430.40,,,
TELRAD NETWORKS,TLRD,IL0011409534,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index, TA-Communication & InformationTechnology, TA Tech - Elite, TA-Rimon, TA-Industrials",309.60,-0.80,32.40,09:53
TELSYS,TLSY,IL0003540197,"TA-Growth, TA-AllShare, TA-Rimon",4430.00,,2.97,09:45
TEUZA,TUZA,IL0002900236,"TA-Growth, TA Global-BlueTech, TA-AllShare, TA-Technology Index",48.70,1.25,2.00,09:58
